%"Time"	"0 Channel 1"
2214.645632	23.738892
2214.845600	23.571045
2215.045568	23.555786
2215.245536	23.601563
2215.445504	23.571045
2215.645472	23.693115
2215.845440	23.616821
2216.045408	23.708374
2216.245376	23.586304
2216.445344	23.632080
2216.645312	23.601563
2216.845280	23.540527
2217.045248	23.448975
2217.245216	23.448975
2217.445184	23.433716
2217.645152	23.601563
2217.845120	23.479492
2218.045088	23.586304
2218.245056	23.677856
2218.445024	23.632080
2218.644992	23.433716
2218.844960	23.586304
2219.044928	23.586304
2219.244896	23.647339
2219.444864	23.586304
2219.644832	23.571045
2219.844800	23.677856
2220.044768	23.738892
2220.244736	23.632080
2220.444704	23.586304
2220.644672	23.525269
2220.844640	23.662598
2221.044608	23.632080
2221.244576	23.693115
2221.444544	23.555786
2221.644512	23.479492
2221.844480	23.540527
2222.044448	23.647339
2222.244416	23.708374
2222.444384	23.723633
2222.644352	23.632080
2222.844320	23.571045
2223.044288	23.433716
2223.244256	23.647339
2223.444224	23.387939
2223.644192	23.586304
2223.844160	23.571045
2224.044128	23.632080
2224.244096	23.677856
2224.444064	22.014648
2224.644032	20.183594
2224.844000	18.520386
2225.043968	17.375977
2225.243936	16.567261
2225.443904	16.170532
2225.643872	15.819580
2225.843840	15.178711
2226.043808	14.934570
2226.243776	14.553101
2226.443744	14.293701
2226.643712	13.820679
2226.843680	13.683350
2227.043648	13.362915
2227.243616	13.088257
2227.443584	12.920410
2227.643552	12.996704
2227.843520	12.783081
2228.043488	12.889893
2228.243456	12.615234
2228.443424	12.432129
2228.643392	12.325317
2228.843360	12.264282
2229.043328	12.203247
2229.243296	12.325317
2229.443264	12.432129
2229.643232	12.203247
2229.843200	12.325317
2230.043168	12.096436
2230.243136	12.081177
2230.443104	12.004883
2230.643072	11.974365
2230.843040	11.837036
2231.043008	11.745483
2231.242976	11.852295
2231.442944	11.638672
2231.642912	11.638672
2231.842880	11.608154
2232.042848	11.592896
2232.242816	11.501343
2232.442784	11.852295
2232.642752	11.547119
2232.842720	11.409790
2233.042688	11.547119
2233.242656	11.455566
2233.442624	11.440308
2233.642592	11.394531
2233.842560	11.394531
2234.042528	11.287720
2234.242496	11.226685
2234.442464	11.257202
2234.642432	11.364014
2234.842400	11.089355
2235.042368	11.104614
2235.242336	11.058838
2235.442304	11.135132
2235.642272	10.921509
2235.842240	11.089355
2236.042208	10.982544
2236.242176	11.013062
2236.442144	10.997803
2236.642112	10.936768
2236.842080	11.058838
2237.042048	10.936768
2237.242016	10.860474
2237.441984	10.890991
2237.641952	11.013062
2237.841920	10.952026
2238.041888	10.936768
2238.241856	10.875732
2238.441824	10.753662
2238.641792	10.860474
